screen_name,rec_0,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,followers_count,friends_count,favourites_count,statuses_count,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional range
baka_brooks,justin_quion,nathanmpark,vadimyb,MahchuLapuz,notwhitemichael,albedzxo,speak_ezy23,WorddART,jamesezie,ItMeeNickLee,234,257,4931,218,0.7302360141572732,0.33493319494251395,0.4116283016212918,0.10601469213298487,0.5527239153490785
Kwammentary,emfairmill,wokebich,tonytonymarlow,_ProjectKO_,karma1097,Michael_Lapuz,HollyHalligan,Maramore,stealsdeals12,cassandratle,534,1748,698,210,0.906035650764893,0.5501051831553136,0.6484263830449718,0.2976938022627764,0.5009493987338776
D1_data,hemmo199666,TKTalksTech,eledwrites,campuscookieuva,ceugenelee,thejennaayyy,KevinCPadilla,m4nang,nikitasneg,Bunsunkun,5,64,7,1,0.7088520998828899,0.7687170052554594,0.29499869966809555,0.15403038925756846,0.11216949991322644
lolegra,largierthanlife,Kimmy_Gene,helloitscamille,albedzxo,ashlee_ong,MahchuLapuz,esm404,lhousj,WorddART,stinefication,169,346,2614,2647,0.5188557162720013,0.06977621313759685,0.6374032295910717,0.24161577958459568,0.7570792118072442
stealsdeals12,Michael_Lapuz,karma1097,emfairmill,MeggzW,wokebich,taytastic,Kwammentary,mhr_minaz,_ProjectKO_,smasongames,93,1150,1130,878,0.4663203765080616,0.7060286455863586,0.18757749111361866,0.05816836304439321,0.3177175868122504
mikeypizzle,boykimba,chickiparm,TrungFu,sBplacidesiii,Supercali432,mochmomo,artofnek,islesofwaikiki,annachoiii12,jarvmiller,917,546,11184,17964,0.6292071772752652,0.18691536733410197,0.21059213110240743,0.1469589479031424,0.5554547361832024
nikitasneg,ceugenelee,TKTalksTech,ItMeeNickLee,Bunsunkun,vcegalla,justin_quion,__heren,musicmaramore,KevinCPadilla,OGthesnackpack,16,78,119,41,0.8238711515483832,0.3363616461094886,0.16897441224564902,0.03012666328400626,0.8121552853267323
OGthesnackpack,makeitreynaa,bwennuh,vcegalla,eileeen_c,ItMeeNickLee,hi_christinee,justin_quion,KevinCPadilla,justintyme23,lhousj,42,157,150,107,0.5472614689778723,0.09643040089980703,0.296597020497807,0.3090090837139183,0.8626227406071468
tonytonymarlow,HollyHalligan,Kwammentary,_ProjectKO_,emfairmill,russ_poll,wokebich,MarcPauloGuzman,karma1097,Maramore,cassandratle,1093,2489,196,509,0.7644047195433845,0.7546851492050666,0.8551757144504037,0.16406215200212548,0.1551430204659791
almeezyuh,silkyfather,MiK_KaY_KaY,goldstareema,elll_ayeee,queen_gi24,ayyongov,artofnek,shotsbywordplay,TrungFu,islesofwaikiki,1176,504,4785,50508,0.7427270075247756,0.3630802403667761,0.6359350433573953,0.3500878699144936,0.4934147757826841
Blake84223285,DancingJiggly,JGWellPlayed,aziz_eltayeb,CajunIslands,RouteRunnasVCU,sakurasang,AllThooose,D1_data,asian_max,doanphonics,8,17,2,0,,,,,
m4nang,eledwrites,hi_christinee,speak_ezy23,rchkang,lhousj,InsertTranHere,KevinCPadilla,albedzxo,WorddART,MahchuLapuz,47,82,2508,246,0.8354697882492284,0.18957938319417622,0.7656508227392406,0.2703093153160103,0.5626941217880705
jarvmiller,annachoiii12,Supercali432,mikeypizzle,iRawn1c,boykimba,jessicarm,FlipCeej,mochmomo,GuppyRoc,chickiparm,854,658,12928,1893,0.7112178682858148,0.23193124680390748,0.53402141375999,0.26009556471123774,0.4779681856491991
Vickypham52,queen_gi24,official5SOSUS,russ_poll,mikeypizzle,jarvmiller,Supercali432,chickiparm,almeezyuh,jessicarm,artofnek,4041,423,6116,1237,0.7190155427907915,0.24980220878520004,0.7146007728887357,0.527779689623366,0.5601560359289999
russ_poll,tonytonymarlow,cassandratle,MarcPauloGuzman,jessicarm,HollyHalligan,jarvmiller,Kwammentary,Maramore,mikeypizzle,Vickypham52,1349,1474,6142,1357,0.9005334282900554,0.5453734652443997,0.40936831768607657,0.12664959948611937,0.4143663279078968
NoraElkins,kathjiang,nawinfree,jaderraade,clairebee,uastin,andreandreams,TwitrlssChris,vadimyb,csbites,wtfalvis,268,212,12345,4687,0.8217029546204253,0.2598776859919786,0.7499151280178874,0.5163420806324348,0.5461604216269718
holmesequoia,MikeyyySoL,Cowsgomoo2,LykaHyun,KillzBillz,MaryAnnAnn23,MannyMulaTM,Sir_Jaxx,bebepotato,czrnasanti,mattytoophatty,1050,648,53839,65889,0.8403942902660966,0.3046927063968891,0.7291675135936886,0.3484558571464723,0.5494765656173132
wokebich,Kwammentary,emfairmill,Michael_Lapuz,karma1097,_ProjectKO_,taytastic,stealsdeals12,Maramore,tonytonymarlow,alphalanphi,359,1383,1733,523,0.8236499268392241,0.07810980327202827,0.6930099002257103,0.20807944202550765,0.7191442361276685
mhr_minaz,SceneryInAnime,sakurasang,AllThooose,stealsdeals12,RouteRunnasVCU,prince_timmons,Michael_Lapuz,Marcobriones_29,emfairmill,wokebich,50,949,3,14,,,,,
_mnb91,InsertTranHere,_itsEC_,JUST_INcognito,SmoothMusings,Taymee_Moju,bahhumbug123,notwhitemichael,helloitscamille,speak_ezy23,lhousj,182,205,795,7167,0.722672717145371,0.32683739068837825,0.8392355526458231,0.42452467809384525,0.3658218325433066
justin_quion,ItMeeNickLee,Bunsunkun,bwennuh,baka_brooks,KevinCPadilla,MahchuLapuz,speak_ezy23,aRmads21,lhousj,justintyme23,123,239,3140,269,0.6187943212534514,0.35037889879687556,0.22879293754190239,0.21885723478045632,0.664689027018994
uastin,parttimedessert,vadimyb,andreandreams,kathjiang,nawinfree,rchkang,laurenbaldy,WorddART,NoraElkins,xgenexvieve,111,198,9551,4651,0.784460778263365,0.09327695962482657,0.6516565784926615,0.14399008992069517,0.7034770138706117
musicmaramore,thejennaayyy,speak_ezy23,KevinCPadilla,bahhumbug123,eledwrites,notwhitemichael,InsertTranHere,Taymee_Moju,nathanmpark,_itsEC_,33,144,118,162,0.9555337720500588,0.6919058711285762,0.6055337347784043,0.40418364888412606,0.6833467324192922
hemmo199666,asian_max,D1_data,knviray,KevinCPadilla,akv0593,emmmhutch,thejennaayyy,bahhumbug123,TKTalksTech,Ha0,3,59,12,3,0.26591328560059435,0.7564270044748995,0.4601356623421989,0.6577698134217513,0.5406204445523014
mattytoophatty,MannyMulaTM,bebepotato,MaryAnnAnn23,Sir_Jaxx,MikeyyySoL,SussanaAfrica,LykaHyun,Cowsgomoo2,holmesequoia,alphalanphi,609,1455,40663,18663,0.839096462336975,0.2885397306663619,0.6119873946761165,0.20806794504066095,0.5221065490352802
silkyfather,MiK_KaY_KaY,almeezyuh,elll_ayeee,ditavonbre,shotsbywordplay,islesofwaikiki,TrungFu,AcunaMatata17,goldstareema,chickiparm,713,581,3036,34512,0.8815393948258363,0.1601716044806613,0.8329308800029247,0.230115843488564,0.32962798257505543
KevinCPadilla,lhousj,eledwrites,hi_christinee,speak_ezy23,Ha0,bwennuh,InsertTranHere,Bunsunkun,makeitreynaa,justintyme23,43,61,894,356,0.6404322879884816,0.39245697906710875,0.5147618511724674,0.36269237749644395,0.6183824052639793
eledwrites,speak_ezy23,KevinCPadilla,m4nang,Bunsunkun,InsertTranHere,lhousj,hi_christinee,MahchuLapuz,musicmaramore,thejennaayyy,17,104,1009,161,0.8887911354835358,0.33798798166385546,0.5813610392755295,0.3455177035422748,0.43853883874075933
goldstareema,ayyongov,shotsbywordplay,almeezyuh,elll_ayeee,KillzBillz,silkyfather,czrnasanti,artofnek,islesofwaikiki,MiK_KaY_KaY,1139,934,13855,129918,0.7354284999098119,0.37128210843920006,0.7425130254343636,0.51586219120871,0.629012499152438
slobvocado,jamiejames929,clairebee,laurenbaldy,xgenexvieve,nawinfree,ScottDobbin,YEStherX,WorddART,TwitrlssChris,jamesezie,97,652,8302,4385,0.8164021581046841,0.24308258642321617,0.6631337595634627,0.26536206717522726,0.5939433425612735
alphalanphi,jamiejames929,mattytoophatty,emfairmill,wokebich,Michael_Lapuz,Kwammentary,_ProjectKO_,slobvocado,Elloimrachelwin,karma1097,277,1453,18025,4387,0.7911319217189625,0.3385671343907313,0.6426479708665988,0.5356984675325774,0.5488250100017499
MannyMulaTM,bebepotato,mattytoophatty,Cowsgomoo2,MikeyyySoL,holmesequoia,MaryAnnAnn23,artofnek,LykaHyun,Sir_Jaxx,SussanaAfrica,1051,1311,35742,26380,0.5755733723111295,0.25772699327342874,0.47659433773913384,0.34821216454268333,0.5897331228571081
HollyHalligan,tonytonymarlow,_ProjectKO_,Kwammentary,emfairmill,russ_poll,Maramore,wokebich,MarcPauloGuzman,alphalanphi,ArteDeLaDance,1746,4515,12573,8860,0.6025090100389807,0.18783864545039064,0.5463768001620288,0.5380373666491126,0.7495071292292365
xgenexvieve,WorddART,rchkang,albedzxo,largierthanlife,lolegra,laurenbaldy,jamesezie,MahchuLapuz,lhousj,notwhitemichael,59,348,4895,288,0.7141829701956319,0.18113760518255018,0.6013214253322254,0.4703519604809679,0.6248253553373525
jessicarm,MarcPauloGuzman,cassandratle,Supercali432,GuppyRoc,TrungFu,annachoiii12,MiK_KaY_KaY,islesofwaikiki,Maramore,mochmomo,759,889,6908,14632,0.8304916358904059,0.5791580673279938,0.7338180200752168,0.5867265089028071,0.526733638500925
Marcobriones_29,MeggzW,ashlee_ong,Kimmy_Gene,mvhlon_lives,prince_timmons,YEStherX,knviray,ItMeeNickLee,lolegra,emmmhutch,160,600,30,2,0.35866442991021175,0.43573839115680757,0.42125238939666315,0.392207077569057,0.9432186384536627
CajunIslands,Blake84223285,aziz_eltayeb,JGWellPlayed,DancingJiggly,sakurasang,RouteRunnasVCU,D1_data,doanphonics,asian_max,eileeen_c,57,76,1,1347,,,,,
MiK_KaY_KaY,silkyfather,ditavonbre,TrungFu,islesofwaikiki,elll_ayeee,almeezyuh,jessicarm,mochmomo,AcunaMatata17,Supercali432,623,571,5314,26172,0.8082973511252773,0.26167968144849835,0.6568978772007267,0.38037333810525237,0.36699502255420297
TKTalksTech,nikitasneg,ceugenelee,Bunsunkun,knviray,MahchuLapuz,D1_data,KevinCPadilla,PeteroKolawole,eledwrites,notwhitemichael,83,187,139,116,0.5255960172330997,0.4544899787008031,0.5026466782421478,0.02485157632737961,0.3302354477735814
prince_timmons,YEStherX,Marcobriones_29,taytastic,Michael_Lapuz,stealsdeals12,MeggzW,mvhlon_lives,wokebich,slobvocado,chillosophies,78,838,109,360,0.7121782705505747,0.42058036540912613,0.8525890310296169,0.44586136274020144,0.359942089216463
faluuxo,mvhlon_lives,ScottDobbin,YEStherX,esm404,laurenbaldy,WorddART,JUST_INcognito,Taymee_Moju,notwhitemichael,helloitscamille,451,447,350,258,0.756662254399918,0.24669112406568816,0.6537729145363496,0.21951225723671658,0.5081348470969178
jamesezie,notwhitemichael,WorddART,nawinfree,glendalovesyou,vadimyb,wtfalvis,laurenbaldy,largierthanlife,InsertTranHere,rchkang,197,315,5117,5064,0.6290919641171289,0.4260358050755363,0.5161084633731247,0.3079464908029334,0.5685989368944189
SceneryInAnime,mhr_minaz,Kwammentary,stealsdeals12,wokebich,emfairmill,sakurasang,_ProjectKO_,karma1097,Michael_Lapuz,tonytonymarlow,316,994,2,3,,,,,
Bunsunkun,speak_ezy23,MahchuLapuz,eledwrites,ItMeeNickLee,KevinCPadilla,justin_quion,justintyme23,lhousj,InsertTranHere,bwennuh,67,213,964,160,0.7137606461387596,0.16463581511050873,0.39859189842918313,0.18586817165205238,0.429334061213542
csbites,kathjiang,TwitrlssChris,uastin,NoraElkins,parttimedessert,andreandreams,nawinfree,vadimyb,annevictoriaaa,jaderraade,213,157,14180,5591,0.6753182448900683,0.13608048953401397,0.1907361734219981,0.15573908048197732,0.7406091224201294
jamiejames929,clairebee,slobvocado,GuppyRoc,TwitrlssChris,ScottDobbin,Elloimrachelwin,sofftoy,FlipCeej,kathjiang,nawinfree,305,702,10212,8346,0.8189428166672352,0.35635158583286375,0.6417365421035711,0.4299381687528667,0.48868324876452374
clairebee,nawinfree,wtfalvis,jamiejames929,ScottDobbin,laurenbaldy,kathjiang,NoraElkins,jamesezie,slobvocado,jaderraade,276,473,8289,5998,0.779308456841501,0.33955643397983404,0.7081445511760114,0.4418838842763291,0.6130402891507745
PeteroKolawole,eledwrites,InsertTranHere,Bunsunkun,_mnb91,JornelTorres,KevinCPadilla,SmoothMusings,notwhitemichael,bahhumbug123,nathanmpark,35,200,71,0,0.6952721105378881,0.3832783259327571,0.797899094107202,0.3149826235557399,0.20296082842100333
KillzBillz,czrnasanti,LykaHyun,holmesequoia,teexaye,MaryAnnAnn23,islesofwaikiki,Cowsgomoo2,elll_ayeee,MikeyyySoL,artofnek,500,594,22877,45269,0.7080952351269381,0.2642685881075195,0.7308354422546948,0.4017680058641079,0.5804027773189683
peterkii,nikitasneg,lalvara23,knviray,asian_max,m4nang,D1_data,hemmo199666,TKTalksTech,ceugenelee,hi_christinee,10,26,6,58,0.7382382785401911,0.13038171127390996,0.6020936541667935,0.08523552656305172,0.7426781261216525
ScottDobbin,clairebee,laurenbaldy,wtfalvis,nawinfree,faluuxo,GuppyRoc,WorddART,largierthanlife,jamesezie,YEStherX,384,535,5714,2781,0.752913492941558,0.19061242260550426,0.45794060510826684,0.2509390716149117,0.6692137762124606
parttimedessert,andreandreams,uastin,rchkang,vonIoI,largierthanlife,nawinfree,Lina_bean7,vadimyb,stinefication,albedzxo,144,170,7727,4821,0.5441601753289256,0.10479216906094879,0.4649725577671571,0.2970956936568315,0.8357454652367753
Taymee_Moju,bahhumbug123,speak_ezy23,JUST_INcognito,_itsEC_,notwhitemichael,glendalovesyou,_mnb91,albedzxo,helloitscamille,InsertTranHere,250,193,713,2906,0.7552224723337766,0.4241575719996344,0.6283146492727238,0.4592134553966967,0.6531684285597992
MikeyyySoL,holmesequoia,LykaHyun,Cowsgomoo2,MannyMulaTM,Sir_Jaxx,bebepotato,MaryAnnAnn23,mattytoophatty,SussanaAfrica,KillzBillz,968,750,55554,49052,0.8174976693345226,0.20276513377330624,0.3702246994441311,0.16061046745237983,0.5299625072382051
bebepotato,MannyMulaTM,Cowsgomoo2,mattytoophatty,MikeyyySoL,holmesequoia,MaryAnnAnn23,artofnek,Sir_Jaxx,LykaHyun,SussanaAfrica,1467,1388,47340,23378,0.7642446148969597,0.2153548433257108,0.6314884671090055,0.41714264273181767,0.67948890745523
mvhlon_lives,MahchuLapuz,speak_ezy23,lolegra,Bunsunkun,WorddART,esm404,notwhitemichael,ItMeeNickLee,albedzxo,YEStherX,206,397,813,212,0.7290904715816506,0.09724741360836542,0.48128299910002337,0.272677150672758,0.4837791537607914
Sir_Jaxx,SussanaAfrica,MaryAnnAnn23,LykaHyun,MikeyyySoL,mattytoophatty,holmesequoia,sofftoy,Elloimrachelwin,MannyMulaTM,Cowsgomoo2,317,555,37594,20004,0.6977145069971116,0.2546158774475224,0.6549578578797189,0.3374575030924606,0.5503220720747317
mochmomo,boykimba,chickiparm,sBplacidesiii,islesofwaikiki,annachoiii12,TrungFu,Supercali432,iRawn1c,Elloimrachelwin,mikeypizzle,635,542,13382,17889,0.6666672623922847,0.20019543282078667,0.6086661379375311,0.4299664232831274,0.6159832910393451
